brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
46667.0,for_sale,299000.0,4.0,2.0,0.09,1951672.0,Trujillo Alto,Puerto Rico,976.0,1700.0,
52707.0,for_sale,28000.0,,,0.12,1902836.0,Florida,Puerto Rico,650.0,,
99732.0,for_sale,497000.0,,,,1902842.0,Arecibo,Puerto Rico,652.0,,
109906.0,for_sale,102000.0,3.0,1.0,0.07,1879245.0,Vega Alta,Puerto Rico,962.0,1025.0,
52707.0,for_sale,180000.0,,,28.07,1902756.0,Corozal,Puerto Rico,873.0,,
3633.0,for_sale,77000.0,6.0,3.0,1.4,1798657.0,Juncos,Puerto Rico,777.0,2392.0,
52707.0,for_sale,145000.0,1.0,1.0,,1840567.0,Guanica,Puerto Rico,647.0,729.0,
103378.0,for_sale,54900.0,,,0.2,1855936.0,Camuy,Puerto Rico,661.0,,
43374.0,for_sale,125000.0,3.0,1.0,0.17,458189.0,Juana Diaz,Puerto Rico,715.0,1080.0,
103379.0,for_sale,85000.0,6.0,4.0,0.79,12687.0,Orocovis,Puerto Rico,720.0,2345.0,
3633.0,for_sale,103000.0,7.0,4.0,0.69,1843284.0,Toa Alta,Puerto Rico,972.0,2106.0,
52270.0,for_sale,108000.0,3.0,2.0,,1831538.0,Vega Baja,Puerto Rico,963.0,1120.0,
52707.0,for_sale,175000.0,3.0,2.0,0.1,1884156.0,Arecibo,Puerto Rico,613.0,1211.0,
52707.0,for_sale,145000.0,3.0,3.0,0.36,1902850.0,Barranquitas,Puerto Rico,794.0,1015.0,
67333.0,for_sale,115000.0,6.0,2.0,0.39,1857228.0,Coamo,Puerto Rico,725.0,2329.0,
3633.0,for_sale,167000.0,3.0,2.0,1.15,1884181.0,Coamo,Puerto Rico,765.0,1326.0,
59533.0,for_sale,73300.0,3.0,2.0,0.1,16116.0,Fajardo,Puerto Rico,738.0,1150.0,
52270.0,for_sale,94000.0,3.0,2.0,0.15,1842737.0,Comerio,Puerto Rico,782.0,996.0,
12434.0,for_sale,120000.0,4.0,2.0,0.15,1902811.0,Toa Baja,Puerto Rico,951.0,1600.0,
78414.0,for_sale,268000.0,3.0,1.0,1.12,1567511.0,Vega Alta,Puerto Rico,694.0,850.0,
52707.0,for_sale,210000.0,4.0,2.0,0.12,1913909.0,Aguadilla,Puerto Rico,605.0,1800.0,
46475.0,for_sale,149995.0,6.0,2.0,1.46,1902848.0,Aibonito,Puerto Rico,705.0,2026.0,
52707.0,for_sale,115000.0,3.0,2.0,0.15,1952865.0,Arecibo,Puerto Rico,688.0,1108.0,
74819.0,for_sale,59900.0,5.0,2.0,0.1,1900757.0,Guaynabo,Puerto Rico,965.0,1655.0,
52707.0,for_sale,189000.0,5.0,3.0,0.07,1962199.0,San Juan,Puerto Rico,921.0,2100.0,
40848.0,for_sale,75000.0,4.0,2.0,0.09,1855312.0,Guayama,Puerto Rico,784.0,852.0,
46475.0,for_sale,195000.0,3.0,2.0,0.09,1897346.0,Guaynabo,Puerto Rico,969.0,1250.0,
74819.0,for_sale,79900.0,3.0,1.0,,957236.0,San Juan,Puerto Rico,924.0,906.0,
81909.0,for_sale,174900.0,4.0,3.0,0.3,1902809.0,San Juan,Puerto Rico,926.0,1500.0,
81909.0,for_sale,225000.0,4.0,2.0,0.1,1966327.0,Aguas Buenas,Puerto Rico,703.0,3138.0,
47931.0,for_sale,240000.0,3.0,2.0,0.14,6164.0,San Lorenzo,Puerto Rico,754.0,2330.0,
82828.0,for_sale,295000.0,3.0,2.0,0.42,595729.0,Gurabo,Puerto Rico,778.0,2000.0,
9664.0,for_sale,240000.0,6.0,4.0,0.37,560746.0,Bayamon,Puerto Rico,956.0,2451.0,
43853.0,for_sale,210000.0,7.0,5.0,0.08,1571836.0,San Juan,Puerto Rico,920.0,2000.0,
109906.0,for_sale,550000.0,4.0,2.0,0.16,475333.0,Guaynabo,Puerto Rico,927.0,2528.0,
46475.0,for_sale,475000.0,4.0,2.0,0.31,1900777.0,Cayey,Puerto Rico,737.0,3300.0,
52707.0,for_sale,3000000.0,6.0,7.0,0.26,1957806.0,Guaynabo,Puerto Rico,966.0,7037.0,
26505.0,for_sale,63900.0,2.0,1.0,0.12,1913921.0,Cayey,Puerto Rico,736.0,600.0,
52707.0,for_sale,105000.0,4.0,2.0,0.58,1902858.0,Cidra,Puerto Rico,739.0,1294.0,
12876.0,for_sale,85000.0,5.0,2.0,0.09,1281299.0,Arroyo,Puerto Rico,714.0,1500.0,
60831.0,for_sale,600000.0,3.0,2.0,28.99,1946165.0,Patillas,Puerto Rico,723.0,2396.0,
52707.0,for_sale,500000.0,3.0,2.0,0.5,1966326.0,Bayamon,Puerto Rico,961.0,1894.0,
49569.0,for_sale,60000.0,3.0,3.0,0.08,1404327.0,Carolina,Puerto Rico,982.0,1056.0,
74819.0,for_sale,94900.0,6.0,6.0,0.08,1638171.0,Bayamon,Puerto Rico,957.0,1811.0,
62409.0,for_sale,75000.0,4.0,1.0,0.09,1916245.0,Loiza,Puerto Rico,772.0,1320.0,
109906.0,for_sale,130900.0,3.0,1.0,0.08,270467.0,Carolina,Puerto Rico,985.0,1776.0,
46475.0,for_sale,450000.0,12.0,9.0,0.18,1884179.0,Bayamon,Puerto Rico,959.0,850.0,
103379.0,for_sale,191000.0,1.0,1.0,,1585272.0,San Juan,Puerto Rico,907.0,664.0,
52707.0,for_sale,1200000.0,2.0,3.0,,729314.0,San Juan,Puerto Rico,912.0,1600.0,
103378.0,for_sale,410000.0,1.0,1.0,0.07,1985065.0,San Juan,Puerto Rico,995.0,4180.0,
52707.0,for_sale,73500.0,4.0,2.0,0.42,1636944.0,Maunabo,Puerto Rico,707.0,1289.0,
52707.0,for_sale,63000.0,4.0,2.0,0.05,1548053.0,Humacao,Puerto Rico,791.0,1443.0,
62409.0,for_sale,56400.0,3.0,1.0,0.05,1854828.0,Yabucoa,Puerto Rico,767.0,900.0,
62409.0,for_sale,79000.0,3.0,2.0,0.07,1940220.0,Naguabo,Puerto Rico,718.0,890.0,
59533.0,for_sale,122000.0,3.0,2.0,0.09,179676.0,Las Piedras,Puerto Rico,771.0,1170.0,
40848.0,for_sale,60000.0,3.0,1.0,0.07,249008.0,Humacao,Puerto Rico,741.0,841.0,
82828.0,for_sale,769000.0,4.0,4.0,0.31,1838708.0,Caguas,Puerto Rico,726.0,3947.0,
61543.0,for_sale,640000.0,2.0,2.0,,1867550.0,Humacao,Puerto Rico,971.0,1141.0,
52707.0,for_sale,49900.0,3.0,1.0,0.09,1837499.0,Salinas,Puerto Rico,751.0,870.0,
52707.0,for_sale,280000.0,2.0,1.0,,1855447.0,San Juan,Puerto Rico,901.0,565.0,
29323.0,for_sale,3300000.0,2.0,2.0,,1446877.0,San Juan,Puerto Rico,911.0,1780.0,
3606.0,for_sale,169000.0,3.0,2.0,,1557026.0,San Juan,Puerto Rico,918.0,1549.0,
52707.0,for_sale,55500.0,,,2.35,1902808.0,Guaynabo,Puerto Rico,970.0,,
52707.0,for_sale,175000.0,10.0,4.0,0.08,616486.0,San Juan,Puerto Rico,915.0,2905.0,
85081.0,for_sale,119000.0,4.0,2.0,0.09,1843432.0,Carolina,Puerto Rico,983.0,1072.0,
59533.0,for_sale,85000.0,7.0,3.0,0.09,387614.0,Caguas,Puerto Rico,925.0,2087.0,
52707.0,for_sale,300000.0,,,8.9,1902826.0,San Juan,Puerto Rico,928.0,,
66902.0,for_sale,125000.0,2.0,2.0,,419027.0,San Juan,Puerto Rico,917.0,921.0,
52270.0,for_sale,98500.0,3.0,2.0,,1733264.0,Trujillo Alto,Puerto Rico,967.0,1200.0,
41507.0,for_sale,195000.0,2.0,2.0,0.97,1730868.0,Rio Grande,Puerto Rico,745.0,1441.0,
13133.0,for_sale,90000.0,3.0,2.0,0.93,1884174.0,Carolina,Puerto Rico,979.0,1200.0,
46667.0,for_sale,850000.0,8.0,6.0,0.12,354523.0,San Juan,Puerto Rico,909.0,4111.0,
38569.0,for_sale,49000.0,,,0.86,916696.0,Ceiba,Puerto Rico,735.0,,
18211.0,for_sale,135300.0,5.0,2.0,0.08,1888301.0,Bayamon,Puerto Rico,958.0,2000.0,
82387.0,for_sale,87000.0,3.0,1.0,,1136711.0,Bayamon,Puerto Rico,960.0,975.0,
52707.0,for_sale,1382000.0,,,0.91,1272535.0,San Juan,Puerto Rico,923.0,,
59533.0,for_sale,131000.0,3.0,2.0,0.08,1662128.0,San Juan,Puerto Rico,910.0,1500.0,
59533.0,for_sale,210000.0,4.0,3.0,0.32,750242.0,Trujillo Alto,Puerto Rico,796.0,2200.0,
52707.0,for_sale,375000.0,3.0,2.0,,600535.0,Guaynabo,Puerto Rico,968.0,1600.0,
52707.0,for_sale,565000.0,4.0,3.0,0.12,1854958.0,Toa Baja,Puerto Rico,946.0,2350.0,
92147.0,for_sale,118000.0,4.0,1.0,0.11,1626352.0,San Juan,Puerto Rico,929.0,1387.0,
40689.0,for_sale,275000.0,8.0,6.0,0.06,1023757.0,San Juan,Puerto Rico,913.0,1800.0,
78414.0,for_sale,199000.0,2.0,1.0,0.77,1875717.0,Guayama,Puerto Rico,974.0,1400.0,
103379.0,for_sale,115000.0,3.0,1.0,0.44,598289.0,Toa Alta,Puerto Rico,954.0,1332.0,
40848.0,for_sale,96000.0,3.0,2.0,0.26,1856991.0,Humacao,Puerto Rico,792.0,1250.0,
52270.0,for_sale,59200.0,2.0,1.0,,128219.0,Carolina,Puerto Rico,630.0,830.0,
109906.0,for_sale,1950000.0,4.0,2.0,0.12,1837521.0,Luquillo,Puerto Rico,773.0,1800.0,
46475.0,for_sale,800000.0,2.0,3.0,0.06,1617762.0,Rio Grande,Puerto Rico,721.0,1900.0,
46475.0,for_sale,519000.0,7.0,6.0,0.11,1854881.0,Culebra,Puerto Rico,775.0,2116.0,
94933.0,for_sale,175000.0,5.0,2.0,0.21,1854903.0,Saint Thomas,Virgin Islands,802.0,1140.0,
8263.0,for_sale,1856000.0,,,5.05,1855394.0,Ponce,Puerto Rico,780.0,,
25348.0,for_sale,4850000.0,4.0,4.0,0.46,923663.0,Saint John,Virgin Islands,830.0,4830.0,
79277.0,for_sale,200000.0,3.0,2.0,0.23,1313457.0,Christiansted,Virgin Islands,820.0,1150.0,
79277.0,for_sale,199000.0,4.0,3.0,0.56,1610163.0,Frederiksted,Virgin Islands,840.0,,
103341.0,for_sale,225000.0,4.0,1.0,0.12,1080201.0,Kingshill,Virgin Islands,850.0,1800.0,
16919.0,for_sale,895000.0,2.0,2.0,0.03,943549.0,San Juan,Puerto Rico,906.0,1560.0,
72216.0,for_sale,100000.0,,,0.7,1418221.0,San Juan,Puerto Rico,936.0,,
67832.0,for_sale,180000.0,2.0,1.0,0.34,732726.0,Agawam,Massachusetts,1001.0,676.0,
22188.0,for_sale,419000.0,4.0,2.0,2.0,1417448.0,Pelham,Massachusetts,1002.0,1607.0,25-07-2005
22188.0,for_sale,350000.0,2.0,1.0,2.0,1784866.0,Conway,Massachusetts,1341.0,1600.0,
3357.0,for_sale,180000.0,4.0,2.0,0.33,1752161.0,Buckland,Massachusetts,1338.0,2246.0,
110138.0,for_sale,397000.0,2.0,2.0,0.51,1212530.0,Granby,Massachusetts,1033.0,2000.0,13-12-2001
40923.0,for_sale,150000.0,4.0,3.0,0.63,550986.0,Greenfield,Massachusetts,1301.0,2624.0,
12856.0,for_sale,105000.0,3.0,1.0,0.14,522512.0,Northampton,Massachusetts,1062.0,1072.0,
87582.0,for_sale,289000.0,5.0,2.0,0.27,114529.0,Montague,Massachusetts,1376.0,3008.0,
77236.0,for_sale,184900.0,3.0,1.0,0.31,1486035.0,Springfield,Massachusetts,1151.0,1252.0,
101392.0,for_sale,389900.0,2.0,2.0,0.92,366219.0,Whately,Massachusetts,1093.0,1723.0,25-09-1997
736.0,for_sale,459900.0,4.0,3.0,3.8,152461.0,Sunderland,Massachusetts,1375.0,2768.0,17-07-2009
77236.0,for_sale,249900.0,4.0,3.0,0.29,1342303.0,Chicopee,Massachusetts,1020.0,1514.0,30-07-1996
79346.0,for_sale,364900.0,3.0,2.0,1.02,1452460.0,Belchertown,Massachusetts,1007.0,1617.0,05-10-2001
98727.0,for_sale,240000.0,2.0,1.0,0.28,1548010.0,Chicopee,Massachusetts,1013.0,1207.0,29-11-2011
30212.0,for_sale,224900.0,2.0,1.0,0.4,553770.0,South Hadley,Massachusetts,1075.0,1034.0,28-02-1996
48733.0,for_sale,442500.0,3.0,2.0,0.52,1308123.0,Hadley,Massachusetts,1035.0,2039.0,
53016.0,for_sale,279900.0,4.0,4.0,0.11,517777.0,Springfield,Massachusetts,1104.0,1908.0,
8147.0,for_sale,299500.0,3.0,2.0,0.11,114750.0,Ludlow,Massachusetts,1056.0,2240.0,03-10-2000
33714.0,for_sale,175000.0,2.0,1.0,,1428307.0,Chicopee,Massachusetts,1022.0,884.0,29-08-2018
48894.0,for_sale,300000.0,3.0,2.0,0.51,918574.0,Easthampton,Massachusetts,1027.0,1541.0,
56419.0,for_sale,469900.0,3.0,3.0,1.82,871914.0,Orange,Massachusetts,1364.0,2096.0,30-06-2000
22637.0,for_sale,339000.0,6.0,2.0,0.23,847643.0,Holyoke,Massachusetts,1040.0,2399.0,05-09-2017
22789.0,for_sale,1249900.0,4.0,5.0,1.36,263802.0,Southampton,Massachusetts,1073.0,4140.0,
37427.0,for_sale,489900.0,3.0,2.0,0.12,437077.0,Northampton,Massachusetts,1060.0,1531.0,01-05-2009
107905.0,for_sale,65000.0,1.0,1.0,0.4,893755.0,Barre,Massachusetts,1005.0,634.0,28-10-2003
48733.0,for_sale,50000.0,,,3.8,1991565.0,Shutesbury,Massachusetts,1072.0,,
64525.0,for_sale,30000.0,,,1.32,1996265.0,Goshen,Massachusetts,1032.0,,
35025.0,for_sale,56500.0,,,3.0,1872199.0,Goshen,Massachusetts,1038.0,,
22188.0,for_sale,109900.0,,,7.75,1951146.0,Deerfield,Massachusetts,1342.0,,
99300.0,for_sale,500000.0,,,21.9,1890151.0,Northampton,Massachusetts,1053.0,,
22188.0,for_sale,1500000.0,,,68.78,1963021.0,Deerfield,Massachusetts,1373.0,,
22188.0,for_sale,199900.0,,,32.5,197427.0,Erving,Massachusetts,1344.0,,
38995.0,for_sale,365000.0,,,18.07,1852506.0,Athol,Massachusetts,1331.0,,
61494.0,for_sale,62500.0,,,9.14,1956843.0,Montague,Massachusetts,1351.0,,
45186.0,for_sale,275000.0,,,103.0,1884810.0,Wendell,Massachusetts,1379.0,,
61569.0,for_sale,120000.0,,,11.04,1539547.0,Williamsburg,Massachusetts,1096.0,,
14627.0,for_sale,95000.0,,,5.8,1996157.0,New Salem,Massachusetts,1355.0,,
48733.0,for_sale,625000.0,,,64.76,1951154.0,Ware,Massachusetts,1082.0,,
27510.0,for_sale,95000.0,,,3.55,1470855.0,Gill,Massachusetts,1354.0,,06-01-1992
37775.0,for_sale,135000.0,,,1.34,1858198.0,Ludlow,Massachusetts,1069.0,,
37427.0,for_sale,159900.0,,,1.12,1996265.0,Hatfield,Massachusetts,1088.0,,
48733.0,for_sale,180000.0,,,91.12,1870470.0,Leverett,Massachusetts,1054.0,,
56787.0,for_sale,545000.0,,,268.5,1916859.0,Ashfield,Massachusetts,1330.0,,
17792.0,for_sale,595000.0,,,42.03,1937768.0,Westfield,Massachusetts,1085.0,,
53710.0,for_sale,375000.0,3.0,1.0,3.87,212961.0,West Springfield,Massachusetts,1089.0,1008.0,14-07-1989
80325.0,for_sale,70000.0,,,2.16,1957098.0,Shelburne,Massachusetts,1370.0,,
22188.0,for_sale,374900.0,2.0,2.0,2.03,481224.0,Chesterfield,Massachusetts,1012.0,1655.0,
53016.0,for_sale,399900.0,4.0,3.0,1.6,919166.0,Blandford,Massachusetts,1008.0,1960.0,01-05-2015
78477.0,for_sale,225000.0,3.0,1.0,3.93,1004268.0,Willington,Connecticut,6279.0,1572.0,
41767.0,for_sale,579900.0,4.0,3.0,2.34,985290.0,Coventry,Connecticut,6238.0,3320.0,01-06-2021
37775.0,for_sale,239999.0,4.0,2.0,0.11,1273312.0,Springfield,Massachusetts,1109.0,1180.0,
91020.0,for_sale,215000.0,2.0,1.0,0.91,1062364.0,East Windsor,Connecticut,6016.0,960.0,06-06-2012
10585.0,for_sale,144900.0,2.0,1.0,0.36,765673.0,Vernon,Connecticut,6066.0,860.0,02-09-2016
30125.0,for_sale,174900.0,3.0,2.0,0.19,1128958.0,Manchester,Connecticut,6040.0,1280.0,
22611.0,for_sale,245000.0,4.0,2.0,2.05,1370196.0,Manchester,Connecticut,6042.0,2078.0,
22611.0,for_sale,172500.0,2.0,2.0,,100779.0,South Windsor,Connecticut,6074.0,1168.0,28-12-2020
56729.0,for_sale,249900.0,6.0,2.0,0.13,308528.0,Springfield,Massachusetts,1108.0,2418.0,
107951.0,for_sale,349900.0,3.0,3.0,0.92,1531043.0,Ellington,Connecticut,6029.0,1960.0,28-06-2010
38461.0,for_sale,329000.0,4.0,1.0,0.64,1443474.0,Longmeadow,Massachusetts,1028.0,1296.0,23-06-2017
33505.0,for_sale,369900.0,12.0,3.0,0.15,785577.0,Springfield,Massachusetts,1105.0,3902.0,24-12-2014
37775.0,for_sale,249999.0,2.0,2.0,,523766.0,Monson,Massachusetts,1057.0,1606.0,05-06-2020
30188.0,for_sale,929900.0,4.0,3.0,0.96,1885044.0,Northbridge,Massachusetts,1588.0,2700.0,
19427.0,for_sale,399900.0,4.0,3.0,1.64,8134.0,Stafford,Connecticut,6076.0,2056.0,11-07-2006
33507.0,for_sale,299900.0,3.0,2.0,0.15,1596986.0,Springfield,Massachusetts,1118.0,1613.0,30-01-2014
19427.0,for_sale,249900.0,4.0,2.0,0.4,387368.0,Enfield,Connecticut,6082.0,1296.0,
36399.0,for_sale,519900.0,3.0,3.0,4.75,1902282.0,Templeton,Massachusetts,1468.0,1804.0,
67269.0,for_sale,350000.0,4.0,4.0,0.21,1169341.0,Springfield,Massachusetts,1129.0,2016.0,24-07-2007
76368.0,for_sale,129900.0,4.0,2.0,1.0,1106102.0,Brimfield,Massachusetts,1010.0,1765.0,26-11-2003
81218.0,for_sale,115900.0,3.0,1.0,0.25,687776.0,Chester,Massachusetts,1011.0,1367.0,13-11-2009
35275.0,for_sale,160000.0,1.0,1.0,0.47,1385832.0,Cummington,Massachusetts,1026.0,608.0,25-10-2019
22789.0,for_sale,649000.0,3.0,3.0,21.0,1050125.0,Granville,Massachusetts,1034.0,3362.0,27-06-1996
107912.0,for_sale,595000.0,3.0,3.0,6.04,1027331.0,Worthington,Massachusetts,1098.0,2717.0,
77236.0,for_sale,149900.0,3.0,2.0,0.24,1069256.0,Becket,Massachusetts,1223.0,1422.0,20-07-1994
22789.0,for_sale,499800.0,4.0,3.0,0.35,331139.0,Agawam,Massachusetts,1030.0,2150.0,
8147.0,for_sale,395000.0,4.0,2.0,0.42,785560.0,Otis,Massachusetts,1253.0,1788.0,
54145.0,for_sale,149900.0,2.0,1.0,3.0,1724901.0,Savoy,Massachusetts,1256.0,980.0,20-09-2006
53016.0,for_sale,349900.0,3.0,2.0,4.28,1066928.0,Southwick,Massachusetts,1077.0,1410.0,28-03-1990
10587.0,for_sale,194900.0,3.0,1.0,0.38,1732359.0,Windsor Locks,Connecticut,6096.0,1140.0,
53226.0,for_sale,269900.0,3.0,1.0,1.41,729798.0,Hardwick,Massachusetts,1031.0,1092.0,08-12-1989
53710.0,for_sale,289900.0,3.0,2.0,2.91,985949.0,West Brookfield,Massachusetts,1585.0,1560.0,
86588.0,for_sale,129900.0,2.0,1.0,0.12,939322.0,North Adams,Massachusetts,1247.0,1722.0,
4563.0,for_sale,399900.0,9.0,6.0,0.19,1732795.0,Adams,Massachusetts,1220.0,5364.0,25-06-1998
8147.0,for_sale,349900.0,8.0,5.0,0.5,329970.0,Huntington,Massachusetts,1050.0,3100.0,
81669.0,for_sale,52000.0,,,3.68,1964317.0,Andover,Connecticut,6232.0,,
33714.0,for_sale,49000.0,,,1.91,578284.0,East Windsor,Connecticut,6088.0,,
19604.0,for_sale,45500.0,,,3.17,1867641.0,Warren,Massachusetts,1083.0,,
7804.0,for_sale,199900.0,,,16.5,1700734.0,Fitzwilliam,New Hampshire,3447.0,,
30125.0,for_sale,39900.0,,,1.48,410706.0,Tolland,Connecticut,6084.0,,
22611.0,for_sale,69900.0,,,5.1,687282.0,Bolton,Connecticut,6043.0,,27-12-2013
67456.0,for_sale,89900.0,,,5.88,1761681.0,Somers,Connecticut,6071.0,,03-01-2017
37775.0,for_sale,149900.0,,,4.78,1280271.0,Wilbraham,Massachusetts,1095.0,,
107962.0,for_sale,79000.0,,,2.44,8892.0,Hebron,Connecticut,6231.0,,
33507.0,for_sale,150000.0,,,4.97,1895237.0,Hampden,Massachusetts,1036.0,,
46730.0,for_sale,39900.0,,,1.14,1752156.0,Wales,Massachusetts,1081.0,,20-06-1989
71674.0,for_sale,50000.0,,,2.02,1144086.0,Hardwick,Massachusetts,1037.0,,
62988.0,for_sale,239900.0,4.0,1.0,,268730.0,Hebron,Connecticut,6248.0,2239.0,
14627.0,for_sale,79900.0,,,4.88,1996259.0,New Braintree,Massachusetts,1531.0,,
10559.0,for_sale,79900.0,,,4.65,1686408.0,Marlborough,Connecticut,6447.0,,
71852.0,for_sale,259900.0,,,93.5,1848375.0,Russell,Massachusetts,1071.0,,
107912.0,for_sale,40000.0,,,5.8,1855887.0,Plainfield,Massachusetts,1070.0,,
